event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,6963c65b49e47277,Melvin Guillard,ccd1299e0345e0ce,Evan Dunham,e5c9de15bb58b1c6,lightweight,0,KO/TKO,1,178,3.0,Mario Yamasaki,2.0,17.0,33.0,51.0,28.0,44.0,64.0,0.0,0.0,,0.0,5.0,15.0,30.0,50.0,2.0,3.0,67.0,0.0,0.0,,8.0,17.0,47.0,6.0,9.0,67.0,3.0,7.0,43.0,88.0,11.0,0.0,47.0,35.0,17.0,0.0,2.0,10.0,20.0,2.0,10.0,20.0,1.0,6.0,16.0,0.0,58.0,0.0,6.0,0.0,2.0,4.0,50.0,0.0,0.0,,2.0,10.0,20.0,0.0,0.0,,0.0,0.0,,0.0,100.0,0.0,100.0,0.0,0.0
UFC Live: Sanchez vs Kampmann,a54fc2d6fc224dc3,d59b40be94d5a609,Takeya Mizugaki,48e093ea1f43a053,Reuben Duran,4417980b3e798abf,bantamweight,0,Decision - Split,3,300,3.0,Herb Dean,0.0,43.0,92.0,46.0,77.0,133.0,57.0,4.0,4.0,100.0,0.0,254.0,20.0,60.0,33.0,7.0,7.0,100.0,16.0,25.0,64.0,30.0,75.0,40.0,5.0,6.0,83.0,8.0,11.0,73.0,46.0,16.0,37.0,69.0,11.0,18.0,0.0,67.0,143.0,46.0,105.0,186.0,56.0,0.0,2.0,0.0,0.0,60.0,43.0,118.0,36.0,15.0,16.0,94.0,9.0,9.0,100.0,49.0,123.0,40.0,17.0,19.0,89.0,1.0,1.0,100.0,64.0,22.0,13.0,73.0,25.0,1.0
UFC Live: Sanchez vs Kampmann,a54fc2d6fc224dc3,3ce9e07f51239edd,Igor Pokrajac,53278852bcd91e11,Todd Brown,9b68bf67c5695185,light heavyweight,0,KO/TKO,1,300,3.0,Chris Kinman,1.0,17.0,38.0,44.0,39.0,60.0,65.0,0.0,0.0,,0.0,35.0,17.0,38.0,45.0,0.0,0.0,,0.0,0.0,,14.0,35.0,40.0,3.0,3.0,100.0,0.0,0.0,,100.0,0.0,0.0,82.0,17.0,0.0,0.0,15.0,23.0,65.0,24.0,32.0,75.0,0.0,3.0,0.0,0.0,126.0,6.0,14.0,43.0,3.0,3.0,100.0,6.0,6.0,100.0,7.0,15.0,47.0,8.0,8.0,100.0,0.0,0.0,,40.0,20.0,40.0,46.0,53.0,0.0
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,9a71dc94152a76ac,Mark Hominick,0a97691039c4bbfb,George Roop,3c0437fbeda06962,featherweight,0,KO/TKO,1,88,3.0,Don Turnage,2.0,9.0,16.0,56.0,9.0,16.0,56.0,0.0,0.0,,0.0,7.0,8.0,14.0,56.0,1.0,2.0,50.0,0.0,0.0,,8.0,15.0,53.0,0.0,0.0,,1.0,1.0,100.0,88.0,11.0,0.0,88.0,0.0,11.0,0.0,12.0,32.0,37.0,12.0,32.0,38.0,0.0,1.0,0.0,0.0,0.0,4.0,23.0,17.0,1.0,2.0,50.0,7.0,7.0,100.0,12.0,32.0,38.0,0.0,0.0,,0.0,0.0,,33.0,8.0,58.0,100.0,0.0,0.0
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,4abf375aa97364f6,Pat Barry,658c3465581ae46b,Joey Beltran,46baf0f57edfa4df,heavyweight,0,Decision - Unanimous,3,300,3.0,Mario Yamasaki,1.0,46.0,90.0,51.0,58.0,103.0,56.0,0.0,0.0,,0.0,53.0,14.0,56.0,25.0,2.0,2.0,100.0,30.0,32.0,94.0,43.0,86.0,50.0,1.0,2.0,50.0,2.0,2.0,100.0,30.0,4.0,65.0,93.0,2.0,4.0,0.0,55.0,177.0,31.0,104.0,235.0,44.0,0.0,6.0,0.0,0.0,262.0,35.0,150.0,23.0,7.0,10.0,70.0,13.0,17.0,76.0,26.0,134.0,19.0,29.0,43.0,67.0,0.0,0.0,,63.0,12.0,23.0,47.0,52.0,0.0
UFC Live: Sanchez vs Kampmann,a54fc2d6fc224dc3,1fa6d636d283ac84,David Branch,d2c55d1d2e67773b,Rousimar Palhares,8ddf9c51c5fdea75,middleweight,0,Submission,2,104,3.0,Mario Yamasaki,0.0,6.0,23.0,26.0,17.0,35.0,49.0,1.0,1.0,100.0,0.0,199.0,2.0,18.0,11.0,2.0,3.0,67.0,2.0,2.0,100.0,3.0,16.0,19.0,0.0,0.0,,3.0,7.0,43.0,33.0,33.0,33.0,50.0,0.0,50.0,0.0,2.0,3.0,66.0,4.0,5.0,80.0,0.0,2.0,0.0,3.0,26.0,2.0,2.0,100.0,0.0,0.0,,0.0,1.0,0.0,2.0,3.0,67.0,0.0,0.0,,0.0,0.0,,100.0,0.0,0.0,100.0,0.0,0.0
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,a60ba933a7ea898e,Matt Mitrione,ba280572acfba13f,Tim Hague,219a254e15d60135,heavyweight,0,KO/TKO,1,179,3.0,Dan Miragliotta,2.0,16.0,27.0,59.0,17.0,28.0,61.0,0.0,0.0,,0.0,14.0,11.0,21.0,52.0,0.0,0.0,,5.0,6.0,83.0,10.0,20.0,50.0,1.0,1.0,100.0,5.0,6.0,83.0,68.0,0.0,31.0,62.0,6.0,31.0,0.0,3.0,8.0,37.0,4.0,9.0,44.0,0.0,3.0,0.0,0.0,33.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,3.0,8.0,38.0,0.0,0.0,,0.0,0.0,,0.0,0.0,100.0,100.0,0.0,0.0
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,a245b4d0a7861fb8,DaMarques Johnson,322a56923b396b4d,Mike Guymon,eaea0fc7b76525a8,welterweight,0,Submission,1,202,3.0,Don Turnage,0.0,2.0,4.0,50.0,11.0,13.0,85.0,1.0,1.0,100.0,0.0,185.0,2.0,4.0,50.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,2.0,3.0,67.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,100.0,10.0,10.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,100.0,100.0,0.0,0.0
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,dc58af0c02a42743,Cole Miller,282fa667ff9c51ed,Matt Wiman,eb29176b03dfa888,lightweight,0,Decision - Unanimous,3,300,3.0,Dan Miragliotta,0.0,22.0,53.0,41.0,60.0,102.0,59.0,0.0,1.0,0.0,0.0,3.0,10.0,40.0,25.0,12.0,13.0,92.0,0.0,0.0,,7.0,33.0,21.0,14.0,19.0,74.0,1.0,1.0,100.0,45.0,54.0,0.0,31.0,63.0,4.0,0.0,76.0,165.0,46.0,106.0,208.0,51.0,1.0,1.0,100.0,1.0,660.0,62.0,148.0,42.0,1.0,2.0,50.0,13.0,15.0,87.0,22.0,69.0,32.0,7.0,11.0,64.0,47.0,85.0,55.0,81.0,1.0,17.0,28.0,9.0,61.0
UFC Fight Night: Fight for the Troops 2,282fa667ff9c51ed,ba5b23e7ef308883,Rani Yahya,94527830000ab715,Mike Brown,e0b74df14f52cd15,featherweight,0,Decision - Unanimous,3,300,3.0,Mario Yamasaki,0.0,40.0,58.0,68.0,97.0,129.0,75.0,3.0,11.0,27.0,2.0,464.0,18.0,28.0,64.0,10.0,17.0,59.0,12.0,13.0,92.0,16.0,28.0,56.0,5.0,6.0,83.0,19.0,24.0,79.0,45.0,25.0,30.0,40.0,12.0,47.0,0.0,15.0,31.0,48.0,50.0,74.0,68.0,1.0,1.0,100.0,0.0,217.0,7.0,22.0,32.0,2.0,3.0,67.0,6.0,6.0,100.0,1.0,16.0,6.0,7.0,8.0,88.0,7.0,7.0,100.0,46.0,13.0,40.0,6.0,46.0,46.0
